Tract Hemisphere Point Value Std.Error DF t.value p.value p.val.adj Position
AF R 33 0.0435000000000004 0.0447458530193979 244 0.972157128866056 0.331935117577782 1 91.4285714285714
AF R 34 0.0365500000000001 0.0447458530193979 244 0.816835472644922 0.414819260987648 1 94.2857142857143
AF R 35 -0.00916666666666655 0.0447458530193979 244 -0.204860697653762 0.837851751513507 1 97.1428571428571
AF R 36 0.0182833333333335 0.0447458530193979 244 0.408603973320332 0.683188688875719 1 100
ILF L 1 0.0169212121212122 0.023290415109183 575 0.726531152059221 0.4678088676609 1 0
ILF L 2 0.00950404040404204 0.023290415109183 575 0.408066595614037 0.683376686853156 1 3.125
ILF L 3 -0.0132979797979802 0.023290415109183 575 -0.570963623260498 0.568247375463617 1 6.25
ILF L 4 -0.00394242424242519 0.023290415109183 575 -0.169272390549654 0.86564192350499 1 9.375
ILF L 5 0.0123464646464649 0.023290415109183 575 0.530109256901863 0.596240821031118 1 12.5
ILF L 6 0.00389898989899055 0.023290415109183 575 0.167407488475946 0.867108291817643 1 15.625
ILF L 7 0.00852323232323446 0.023290415109183 575 0.365954504601074 0.714533621605676 1 18.75
ILF L 8 -0.0125919191919159 0.0232904151091829 575 -0.540648122108877 0.588959503728307 1 21.875
ILF L 9 0.00170000000000014 0.023290415109183 575 0.0729913997681329 0.941838344058029 1 25
ILF L 10 0.00330808080808 0.023290415109183 575 0.142036146310491 0.887101206278535 1 28.125
ILF L 11 -0.00641515151515241 0.023290415109183 575 -0.275441699303291 0.783075863516201 1 31.25
ILF L 12 -0.0163717171717149 0.023290415109183 575 -0.702937972336088 0.482378900419684 1 34.375
ILF L 13 -0.0176999999999996 0.023290415109183 575 -0.759969279938717 0.447584424537592 1 37.5
ILF L 14 -0.0239060606060597 0.023290415109183 575 -1.02643342739881 0.305118927572937 1 40.625
ILF L 15 -0.0256474747474725 0.023290415109183 575 -1.10120298960924 0.271269075222604 0.99009900990099 43.75
ILF L 16 -0.0476505050505066 0.023290415109183 575 -2.04592768429099 0.0412178706433805 0.475247524752475 46.875
ILF L 17 -0.0487525252525235 0.023290415109183 575 -2.09324415318391 0.0367649098210448 0.455445544554455 50
ILF L 18 -0.0531555555555558 0.023290415109183 575 -2.28229317967792 0.0228364037632945 0.336633663366337 53.125
ILF L 19 -0.0607727272727273 0.0232904151091829 575 -2.60934495962529 0.0093077201377606 0.158415841584158 56.25
ILF L 20 -0.0572161616161623 0.023290415109183 575 -2.45663983866062 0.014318744908718 0.277227722772277 59.375
ILF L 21 -0.0656787878787878 0.023290415109183 575 -2.81999215432154 0.00496811289518504 0.0891089108910891 62.5
ILF L 22 -0.0696858585858589 0.023290415109183 575 -2.99204021307387 0.00289004377951209 0.0594059405940594 65.625
ILF L 23 -0.0646979797979789 0.023290415109183 575 -2.77788006330851 0.00565010224290968 0.128712871287129 68.75
ILF L 24 -0.0711393939393946 0.023290415109183 575 -3.05444937781918 0.00235914078374776 0.0594059405940594 71.875
ILF L 25 -0.0701232323232313 0.023290415109183 575 -3.01081934325777 0.00271979731838821 0.0594059405940594 75
ILF L 26 -0.0356373737373733 0.023290415109183 575 -1.53013046655927 0.126534373898088 0.821782178217822 78.125
ILF L 27 -0.0252525252525247 0.023290415109183 575 -1.08424539168339 0.27871041531424 0.99009900990099 81.25
ILF L 28 -0.00532222222222227 0.023290415109183 575 -0.228515558751196 0.819326706955674 1 84.375
ILF L 29 -0.0105030303030306 0.023290415109183 575 -0.450959343308977 0.652188861766468 1 87.5
ILF L 30 -0.0132070707070707 0.023290415109183 575 -0.567060339850423 0.570894485029221 1 90.625
ILF L 31 -0.0280666666666663 0.023290415109183 575 -1.20507369813259 0.228670573167127 0.97029702970297 93.75
ILF L 32 -0.0272999999999998 0.023290415109183 575 -1.17215600804109 0.241619845937552 0.97029702970297 96.875
ILF L 33 0.0218848484848485 0.023290415109183 575 0.939650426248506 0.347791455311008 1 100
ILF R 1 -0.0318797979797979 0.0254119804540053 575 -1.25451843619584 0.210163329319338 1 0
ILF R 2 -0.0329787878787867 0.0254119804540053 575 -1.29776535671735 0.194888339226779 1 3.125
ILF R 3 -0.0403828282828291 0.0254119804540053 575 -1.58912558412834 0.112581704624341 1 6.25
ILF R 4 -0.0408464646464656 0.0254119804540053 575 -1.60737037872338 0.108522085484317 1 9.375
ILF R 5 -0.0370494949494958 0.0254119804540053 575 -1.45795385828168 0.14539921212508 1 12.5
ILF R 6 -0.0189949494949488 0.0254119804540053 575 -0.74748009228674 0.455079381386993 1 15.625
ILF R 7 -0.013971717171716 0.0254119804540054 575 -0.549808276336596 0.582664366240162 1 18.75
ILF R 8 -0.0265777777777747 0.0254119804540052 575 -1.04587589408388 0.296057793014249 1 21.875
ILF R 9 -0.0363989898989901 0.0254119804540054 575 -1.43235549723764 0.152585501580533 1 25
